"BANK","IFSC","MICR","BRANCH","ADDRESS","CONTACT","CITY","DISTRICT","STATE"
"BANK OF INDIA","BKID0WAINGB","NA","VIDHARBHA KONKAN GRAMIN BANK HO NAGPUR","OLD HUDKESHWAR NAKA NAGPUR-440034","2267447000.0","SOLAPUR","SOLAPUR","MAHARASHTRA"
"BANK OF INDIA","BKID0NAMRGB","452653002.0","NARMADA MALWA GB-INDORE BR","28, SOUTH RAJMOHALLA, INDORE - 452 002","7312341813.0","INDORE","INDORE","MADHYA PRADESH"
"BANK OF INDIA","BKID0JHARGB","NA","JHARKHAND GB-RANCHI BR","NEAR OVERBRIDGE, 5, MAIN ROAD, RANCHI- 834001","9431996700.0","RANCHI","RANCHI","JHARKHAND"
"BANK OF INDIA","BKID0BILDSK","WAITING","BILL DESK BKC","STAR HOUSE C 5 G BLOCK GROUND FLOOR BANDRA KURLA COMPLEX BANDRA EAST MUMBAI 400 051","0.0","MUMBAI","GREATER BOMBAY","MAHARASHTRA"
"BANK OF INDIA","BKID0BESCOM","NA","BESCOM CANTONMENT","JYOTHI MAHAL 49 ST MARKS ROAD CANTONMENT BANGALORE 560001","22959473.0","BANGALORE","BANGALORE URBAN","KARNATAKA"
"BANK OF INDIA","BKID0ARYAGB","NA","ARYAVART GB-GOMTI NAGAR BR","1/54, VIKAS KHAND, GOMTI NAGAR, LUCKNOW","5226455002.0","LUCKNOW","LUCKNOW","UTTAR PRADESH"
"BANK OF INDIA","BKID099BKCB","560226264.0","BHAVASARA KSHATRIYA COOP BANK HO","NO 63 69 SAHAKARA SADANA 24TH CROSS KILARI ROAD 560053","22972781.0","BANGALORE","BANGALORE URBAN","KARNATAKA"
"BANK OF INDIA","BKID000TEAB","WAITING","TEA BOARD","23A NETAJI SUBHASH ROAD KOLKATA 700 001","22624136.0","KOLKATA","KOLKATA","WEST BENGAL"
"BANK OF INDIA","BKID000PIGW","NA","RTGS-HO","MUMBAI","0.0","MUMBAI","MUMBAI","MAHARASHTRA"
"BANK OF INDIA","BKID000DCBL","700013251.0","DHAKURIA CO OP BANK LTD DHAKURIA","68 TANUPUKUR ROAD DHAKURIA KOLKATA 700031","9433408082.0","KOLKATA","KOLKATA","WEST BENGAL"
"BANK OF INDIA","BKID0009975","450013503.0","ATUDKHAS","VILLAGE & POST ATUDKHASVIA NIMAR KHEDI, DIST KHANDWA","7323268625.0","ATUDKHAS (DIST. KHANDWA)","ATUDKHAS (DIST. KHANDWA)","MADHYA PRADESH"
"BANK OF INDIA","BKID0009969","466013508.0","REHTI","BIJASEN COLONYMAIN ROAD SEHORE","7564232440.0","SEHORE","SEHORE","MADHYA PRADESH"
